Name,Active substance,Amount of substance,Form,Prescription type
Flumazenil Kabi 0.1 mg/ml roztwór do wstrzykiwań,Flumazenilum 0.1 mg/ml,0.1 mg/ml,Roztwór do wstrzykiwań. koncentrat do sporządzania roztworu do infuzji,Rp
Amoksiklav Quicktab 1000 mg,Amoxicillinum 875 mg + Kalii clavulonas 125 mg,875 mg + 125 mg,Tabletki do sporządzania zawiesiny doustnej,Rp
Testosteronum prolongatum Jelfa,Testosteroni enantas 100 mg,100 mg/ml,Roztwór do wstrzykiwań,Rp
Paracetamol Aflofarm,Paracetamolum 500 mg,500 mg,Tabletki,OTC
Visipaque,Iodixanolum 652 mg/ml,652 mg/ml (320 mg jodu/ml),Roztwór do wstrzykiwań,Rp
Tegretol CR 200,Carbamazepinum 200 mg,200 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Tramal,Tramadoli hydrochloridum 50 mg,50 mg,Kapsułki twarde,Rp
Szałwia Fix,Salviae folium 100 g/100 g,-,Zioła do zaparzania w saszetkach,OTC
Symla,Lamotriginum 100 mg,100 mg,Tabletki,Rp
Boldaloin,Aloes extractum siccum normatum 23.6 mg + Boldinum 1 mg,4.0 mg pochodnych hydroksyantracenu w przeliczeniu na barbaloinę+ 1.0 mg /tabletkę,Tabletki,OTC
Szczepionka przeciwgruźlicza BCG 10,Vaccinum BCG 0.5 mg (od 1.5 mln do 3 mln żywych prątków BCG/ml),0.5 mg (od 1.5 mln do 6 mln żywych prątków BCG/ml); szczepionka 10 dawkowa. 1 dawka (0.1 ml),Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań śródksórnych,Rp
Asmanex Twisthaler,Mometasoni furoas (zmikronizowany) 200 mcg/dawkę,200 mcg/dawkę inh.,Proszek do inhalacji,Rp
Driptane,Oxybutynini hydrochloridum 5 mg,5 mg,Tabletki,Rp
Equoral,Ciclosporinum 100 mg/ml,100 mg/ml,Roztwór doustny,Rp
Ethambutol Teva,Ethambutoli dihydrochloridum 250 mg,250 mg,Kapsułki,Rp
Atenativ,Antithrombinum humanum III 50 j.m./1 ml,50 j.m./ml,Proszek i rozpuszczalnik do sporządzania roztworu do infuzji,Rp
Pentaglobin,Immunoglobulinum humanum normale ad usum intravenosum 50 mg/ml,50 mg/ml,Roztwór do infuzji,Rp
Neo-Tormentil,Zinci oxidum 20 g + Ammonii bituminosulfonas 2 g + Borax 1 g + Tormentillae tinctura 8 g,(20 g + 2 g + 1 g + 8 g)/100 g,Maść,OTC
Lactovaginal,Pałeczki Lactobacillus rhamnosus 573 około 10^10 (w tym nie mniej niż 10^8 CFU) pałeczek Lactobacillus rhamnosus 573,około 10^10 (w tym nie mniej niż 10^8 CFU) pałeczek Lactobacillus rhamnosus 573,Kapsułki dopochwowe. twarde,OTC
Avaxim 160 U,Wirus zapalenia wątroby typu A. szczep GBM (inaktywowany) 160 jednostek antygenowych,160 jednostek antygenowych ELISA wirusa zapalenia wątroby typu A. szczep GBM/0.5 ml; 1 dawka (0.5 ml),Zawiesina do wstrzykiwań w ampułko-strzykawce,Rp
Metformax SR 500,Metformini hydrochloridum 500 mg,500 mg,Tabletki o przedłużonym uwalnianiu,Rp
Arlevert,Cinnarizinum 20 mg + Dimenhydrinatum 40 mg,20 mg + 40 mg,Tabletki,Rp
Prograf,Tacrolimus 1 mg,1 mg,Kapsułki twarde,Rp
Nicorette FreshFruit Gum,Nicotini resinas 10 mg,2 mg,Guma do żucia. lecznicza,OTC
Panzol,Pantoprazolum 20 mg,20 mg,Tabletki dojelitowe,Rp
Panzol,Pantoprazolum 40 mg,40 mg,Tabletki dojelitowe,Rp
Gripex Max,Paracetamolum 500 mg + Pseudoephedrini hydrochloridum 30 mg + Dextromethorphani hydrobromidum 15 mg,500 mg + 30 mg + 15 mg,Tabletki powlekane,OTC
Gripex,Paracetamolum 325 mg + Pseudoephedrini hydrochloridum 30 mg + Dextromethorphani hydrobromidum (6000) 1.694 mg,325 mg + 30 mg + 10 mg,Tabletki powlekane,OTC
Areplex,Clopidogrelum hydrosulfas 75 mg,75 mg,Tabletki powlekane,Rp
Dicloratio,Diclofenacum natricum 75 mg/2 ml + Lidocaini hydrochloridum monohydricum 20 mg/2 ml,(75 mg + 20 mg)/2 ml,Roztwór do wstrzykiwań,Rp
Engerix B,Antygen powierzchniowy wirusa zapalenia wątroby typu B (HBsAg) 20 mcg/ml,20 mcg antygenu powierzchniowego wirusa zapalenia wątroby typu B (HBsAg)/1 ml; 1 dawka (1 ml),Zawiesina do wstrzykiwań,Rp
KWIAT GŁOGU FIX,Crataegi folium cum flore 1 g/ 1 g,-,Zioła do zaparzania,OTC
Apoauronarami,Ramiprilum 2.5 mg,2.5 mg,Tabletki,Rp
Apoauronarami,Ramiprilum 5 mg,5 mg,Tabletki,Rp
NebivoLek,Nebivololi hydrochloridum 5.45 mg,5 mg,Tabletki,Rp
Apoauronarami,Ramiprilum 10 mg,10 mg,Tabletki,Rp
Gastrostad,Pantoprazolum 20 mg,20 mg,Tabletki dojelitowe,Rp
Gastrostad,Pantoprazolum 40 mg,40 mg,Tabletki dojelitowe,Rp
Paramax Rapid 500 mg,Paracetamolum 500 mg,500 mg,Tabletki,OTC
Vidotin,tert-Butylamini perindoprilum 4 mg,4 mg,Tabletki,Rp
Vidotin,tert-Butylamini perindoprilum 8 mg,8 mg,Tabletki,Rp
Stalevo,Levodopum 200 mg + Carbidopum 50 mg + Entacaponum 200 mg,200 mg + 50 mg + 200 mg,Tabletki powlekane,Rp
Duphalac,Lactulosum 667 mg/ml,667 mg/ml,Roztwór doustny,OTC
Imovax Polio,Wirus poliomyelitis typ 1. szczep Mahoney (inaktywowany) 29 jednostek antygenu D + Vaccinum poliomyelitidis inactivum 0.5 ml + Wirus poliomyelitis typ 2. szczep MEF-1 (inaktywowany) 7 jednostek antygenu D + Wirus poliomyelitis typ 3. szczep Saukett (inaktywowany) 26 jednostek antygenu D,29 jednostek antygenu D wirusa poliomyelitis typ 1. szczep Mahoney. 7 jednostek antygenu D wirusa poliomyelitis typ 2. szczep MEF-1 i 26 jednostek antygenu D wirusa poliomyelitis typ 3. szczep Saukett/0.5 ml; Szczepionka 1-dawkowa. 1 dawka (0.5 ml),Zawiesina do wstrzykiwań w ampułko-strzykawce,Rp
Fluoxetin Polpharma,Fluoxetini hydrochloridum 22.4 mg,20 mg,Kapsułki twarde,Rp
Izotziaja,Isotretinoinum 0.5 mg,0.5 mg/g,Żel,Rp
Rapydan,Lidocainum 70 mg + Tetracainum 70 mg,70 mg + 70 mg,Plaster leczniczy,Rp
Piramil 10 mg,Ramiprilum 10 mg,10 mg,Tabletki,Rp
Concerta,Methylphenidati hydrochloridum 18 mg,18 mg,Tabletki o przedłużonym uwalnianiu,Rpw
Concerta,Methylphenidati hydrochloridum 36 mg,36 mg,Tabletki o przedłużonym uwalnianiu,Rpw
Zomiren SR,Alprazolamum 0.5 mg,0.5 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Zomiren SR,Alprazolamum 1 mg,1 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Cezera,Levocetirizini dihydrochloridum 5 mg,5 mg,Tabletki powlekane,Rp
Yarisen,Natrii risedronas 35 mg,35 mg,Tabletki powlekane,Rp
Donesyn,Donepezili hydrochloridum monohydricum 5 mg,5 mg,Tabletki powlekane,Rp
Donesyn,Donepezili hydrochloridum monohydricum 10 mg,10 mg,Tabletki powlekane,Rp
Amoksiklav,Amoxicillinum natricum 500 mg + Acidum clavulanicum 100 mg,500 mg + 100 mg,Proszek do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Humalog KwikPen,Insulinum lisprum injectio neutralis 100 j.m./1 ml,100 j./ml,Roztwór do wstrzykiwań,Rp
Humalog Mix 25 KwikPen,Insulinum lisprum 100 j.m./ml,100 j./ml,Zawiesina do wstrzykiwań,Rp
Humalog Mix 50 KwikPen,Insulinum lisprum 100 j.m./ml,100 j./ml,Zawiesina do wstrzykiwań,Rp
Liprolog KwikPen,Insulinum lisprum 100 j.m./ml,100 j.m./ml,Roztwór do wstrzykiwań,Rp
Liprolog Mix25 KwikPen,Insulinum lisprum 100 j.m./1 ml,100 j.m./ml,Zawiesina do wstrzykiwań,Rp
Liprolog Mix50 KwikPen,Insulinum lisprum 100 j.m./ml,100 j.m./ml,Zawiesina do wstrzykiwań,Rp
MIG,Ibuprofenum 400 mg,400 mg,Tabletki powlekane,OTC
Xarelto,Rivaroxabanum 10 mg,10 mg,Tabletki powlekane,Rp
Esmocard 100 mg/10 ml,Esmololi hydrochloridum 100 mg/10 ml,100 mg/10 ml (10 mg/ml),Roztwór do wstrzykiwań,Rp
Omeprazol Teva,Omeprazolum 20 mg,20 mg,Kapsułki dojelitowe. twarde,Rp
Ibuprom,Ibuprofenum 200 mg,200 mg,Tabletki powlekane,OTC
Ibuprom Sprint,Ibuprofenum 200 mg,200 mg,Kapsułki miękkie,OTC
Retrovir,Zidovudinum 250 mg,250 mg,Kapsułki twarde,Rp
Relistor,Methylnaltrexoni bromidum 12 mg/0.6 ml,12 mg/ 0.6 ml,Roztwór do wstrzykiwań,Rp
Rispolept Consta,Risperidonum 37.5 mg,37.5 mg,Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań o przedłużonym uwalnianiu,Rp
Liść Senesu,Sennae foliolum 30.0 mg glikozydów hydroksyantracenowych w przeliczeniu na sennozyd B/saszetkę,30.0 mg glikozydów hydroksyantracenowych w przeliczeniu na sennozyd B/saszetkę,Zioła do zaparzania w saszetkach,OTC
Hydrocortisonum AFP,Hydrocortisoni acetas 0.15 g/15 g,10 mg/g,Krem,Rp
Antidol 15,Paracetamolum 500 mg + Codeini phosphas 15 mg,500 mg + 15 mg,Tabletki,OTC
Nurofen,Ibuprofenum do pH 4.0,200 mg,Tabletki powlekane,OTC
Mepidont 2% z adrenaliną 1:100.000,Mepivacaini hydrochloridum 36 mg + Adrenalinum 0.01 mg + Epinephrini bitartras 18 mcg,(0.01 mg + 20 mg)/ml,Roztwór do wstrzykiwań,Rp
Mepidont 3%,Mepivacaini hydrochloridum 54 mg,30 mg/ml,Roztwór do wstrzykiwań,Rp
Vaqta 50,Wirus zapalenia wątroby typu A. szczep CR326F (inaktywowany) 50 U,50 U wirusa zapalenia wątroby typu A. szczep CR326F/ml; 1 dawka (1 ml). dla dorosłych,Zawiesina do wstrzykiwań,Rp
Retrovir,Zidovudinum 100 mg,100 mg,Kapsułki twarde,Rp
Apo-Napro,Naproxenum 250 mg,250 mg,Tabletki,Rp
Apo-Napro,Naproxenum 500 mg,500 mg,Tabletki,Rp
Simvacard 10,Simvastatinum 10 mg,10 mg,Tabletki powlekane,Rp
Epimedac 2 mg/ml roztwór do wstrzykiwań,Epirubicini hydrochloridum 2 mg/ml,2 mg/ml,Roztwór do wstrzykiwań,Rp
Kora Kruszyny,Frangulae cortex 100 g/100 g,28 mg - 30 mg glukofrangulin w przeliczeniu na glukofrangulinę A/0.4 g,Zioła do zaparzania,OTC
Strepsils z mentolem i eukaliptusem,Alcohol dichlorobenzylicus 1.2 mg + Amylmetacresolu 0.6 mg,1.2 mg + 0.6 mg,Pastylki twarde,OTC
Olfen 50,Diclofenacum natricum 50 mg,50 mg,Tabletki powlekane,Rp
Flucofast,Fluconazolum 100 mg,100 mg,Kapsułki twarde,Rp
Ebivol,Nebivololi hydrochloridum 5.45 mg,5 mg,Tabletki,Rp
Prenessa,tert-Butylamini perindoprilum 8 mg,8 mg,Tabletki,Rp
Vimpat,Lacosamidum 50 mg,50 mg,Tabletki powlekane,Rp
Monkasta,Montelukastum natricum 5.2 mg,5 mg,Tabletki do rozgryzania i żucia,Rp
Vimpat,Lacosamidum 100 mg,100 mg,Tabletki powlekane,Rp
Vimpat,Lacosamidum 150 mg,150 mg,Tabletki powlekane,Rp
Vimpat,Lacosamidum 200 mg,200 mg,Tabletki powlekane,Rp
Monkasta,Montelukastum natricum 4.16 mg,4 mg,Tabletki do rozgryzania i żucia,Rp
Vimpat,Lacosamidum 50 mg/100 mg/150 mg/200 mg,50 mg;100 mg;150 mg;200 mg,Tabletki powlekane,Rp
Vimpat,Lacosamidum 10 mg/ml,10 mg/ml,Roztwór do infuzji,Rp
Montelukast Teva,Montelukastum 4 mg,4 mg,Tabletki do rozgryzania i żucia,Rp
Sertranorm,Sertralinum 50 mg,50 mg,Tabletki powlekane,Rp
Montelukast Teva,Montelukastum 5 mg,5 mg,Tabletki do rozgryzania i żucia,Rp
Montelukast Teva,Montelukastum 10 mg,10 mg,Tabletki powlekane,Rp
Sertranorm,Sertralinum 100 mg,100 mg,Tabletki powlekane,Rp
Nicorette Invisipatch,Nicotinum 23.62 mg,15 mg/16 h,System transdermalny,OTC
Nicorette Invisipatch,Nicotinum 15.75 mg,10 mg/16 h,System transdermalny,OTC
Nicorette Invisipatch,Nicotinum 39.37 mg,25 mg/16 h,System transdermalny,OTC
Bactrazol,Azithromycinum 524.109 mg,500 mg,Tabletki powlekane,Rp
Ranisan 75 mg,Ranitidinum 75 mg,75 mg,Tabletki powlekane,OTC
Nurofen Zatoki,Ibuprofenum 200 mg + Pseudoephedrini hydrochloridum 30 mg,200 mg + 30 mg,Tabletki powlekane,OTC
Krople miętowe,Menthae piperitae tinctura 95 g + Menthae piperitae aetheroleum 5 g,(95 g + 5 g)/100 g,Krople doustne,OTC
Zioła wzmagające trawienie,Menyanthidis trifoliatae folium 25 g + Coriandri fructus 15 g + Rhei radix 5 g + Millefolii herba 35 g + Menthae piperitae folium 20 g,-,Zioła do zaparzania w saszetkach,OTC
Dicloberl 50,Diclofenacum natricum 50 mg,50 mg,Czopki,Rp
Fluconazole Polfarmex,Fluconazolum 100 mg,100 mg,Tabletki,Rp
Finaster,Finasteridum 5 mg,5 mg,Tabletki powlekane,Rp
Artelac,Hypromellosum 3.2 mg,3.2 mg/ml,Krople do oczu. roztwór,OTC
Figura 1,Sennae foliolum -,16.58-22.43 mg glikozydów hydroksyantracenowych w przeliczeniu na sennozyd B/saszetkę,Zioła do zaparzania w saszetkach,OTC
Echinerba,Echinaceae purpureae herbae extractum siccum 100 mg,100 mg,Tabletki,OTC
Ruta graveolens,Ruta graveolens Granulki i granulki w pojemniku jednodawkowym - 1%; Krople doustne - 100%,2CH - 200CH; 6K - CMK,Granulki; granulki w pojemniku jednodawkowym; krople doustne. roztwór,OTC
Robinia Pseudo-Acacia,Robinia pseudacacia Granulki i granulki wpojemniku jednodawkowym - 1%; Krople doustne - 100%,2CH - 200CH; 6K - CMK,Granulki; granulki w pojemniku jednodawkowym; krople doustne. roztwór,OTC
Zioła przeczyszczające,Frangulae cortex 50 g + Graminis rhizoma 25 g + Carvi fructus 15 g + Lini Semen 10 g,-,Zioła do zaparzania w saszetkach,OTC
Abrotanum,Abrotani herba Granulki i granulki wpojemniku jednodawkowym - 1%; Krople doustne - 100%,-,Granulki; granulki w pojemniku jednodawkowym; krople doustne. roztwór,OTC
Entus Max,Ambroxoli hydrochloridum 30 mg,30 mg/5 ml,Syrop,OTC
Entus Junior,Ambroxoli hydrochloridum 15 mg,15 mg/5 ml,Syrop,OTC
Succus Urticae Phytopharm,Urticae herbae recentis succus (1:1)/100 g,2.425 g/2.5 ml,Płyn doustny,OTC
Citabax 20,Citaloprami hydrobromidum 25 mg,20 mg,Tabletki powlekane,Rp
Kora Wierzby,Salicis cortex 100 g/100 g,96.0 mg sumy pochodnych salicylowych w przeliczeniu salicynę/3.0 g,Zioła do zaparzania,OTC
Physioneal 40 z glukozą 2.27 w/v 22.7 mg/ml,glukoza bezwodna 22.7 g/l + Sodu chlorek 5.38 g/l + wapnia chlorek dwuwodny 0.184 g/l + Magnezu chlorek sześciowodny 0.051 g/l + Natrii hydrogenocarbonas 2.1 g/l + Sodu (S)-mleczan 1.68 g/l,22.7 g/l + 5.38 g/l + 0.184 g/l + 0.051 g/l + 2.1 g/l + 1.68 g/l,Roztwór do dializy otrzewnowej,Rp
Glukoza,Glucosum 100 g,-,Proszek do sporządzania roztworu doustnego. proszek doustny,OTC
Raphacholin plus,Chamomillae anthodium 15.5 cz. + Taraxaci intractum (1:1) + Coriandri fructus 7.5 cz. + Helichrysi inflorescentia 24 cz. + Sambuci fructus 3 cz.,4.16 g + 0.51 g/5 ml,Płyn doustny,OTC
DTP-Szczepionka błoniczo-tężcowo-krztuścowa adsorbowana,Toksoid błoniczy nie mniej niż 30 j.m. + Toksoid tężcowy nie mniej niż 40 j.m. + Zawiesina inaktywowanego szczepu Bordetella pertussis nie mniej niż 4 j.m.,nie mniej niż 30 j.m. toksoidu błoniczego. nie mniej niż 40 j.m. toksoidu tężcowego i nie mniej niż 4 j.m. zawiesiny inaktywowanego szczepu Bordetella pertussis/0.5 ml; 1 d; 1 dawka (0.5 ml),Zawiesina do wstrzykiwań,Rp
Nurofen Plus,Ibuprofenum 200 mg + Codeini phosphas 12.8 mg,200 mg + 12.8 mg,Tabletki powlekane,OTC
Hemorigen,Erigeroni canadensis herbae extractum spissum ekstrahent 50 mg,50 mg,Tabletki,OTC
Imazol,Clotrimazolum 10 mg,10 mg,Pasta na skórę,OTC
Toramat,Topiramatum 50 mg,50 mg,Tabletki powlekane,Rp
Imazol plus,Clotrimazolum 10 mg/g + Hexamidini diisetionas 2.5 mg/g,(10 mg + 2.5 mg)/g,Krem,OTC
Toramat,Topiramatum 100 mg,100 mg,Tabletki powlekane,Rp
Toramat,Topiramatum 200 mg,200 mg,Tabletki powlekane,Rp
Toramat,Topiramatum 25 mg,25 mg,Tabletki powlekane,Rp
Neocitec,vinorelbinum 10 mg,10 mg/ml,Koncentrat do sporządzania roztworu do infuzji,Rp
Milukante,Montelukastum natricum 5.2 mg,5 mg,Tabletki do rozgryzania i żucia,Rp
Milukante,Montelukastum natricum 10.4 mg,10 mg,Tabletki powlekane,Rp
Milukante,Montelukastum natricum 4.16 mg,4 mg,Tabletki do rozgryzania i żucia,Rp
Liść Senesu,Sennae foliolum 28.5 mg - 31.5 mg glikozydów hydroksyantracenowych w przeliczeniu na sennozyd B/1.1 g,28.5 mg - 31.5 mg glikozydów hydroksyantracenowych w przeliczeniu na sennozyd B/1.1 g,Zioła do zaparzania,OTC
Polkepral,Levetiracetamum 1000 mg,1000 mg,Tabletki powlekane,Rp
Co-Prestarium,Perindoprilum argininum 5 mg + Amlodipinum 5 mg,5 mg + 5 mg,Tabletki,Rp
Co-Prestarium,Perindoprilum argininum 10 mg + Amlodipinum 5 mg,10 mg + 5 mg,Tabletki,Rp
Co-Prestarium,Perindoprilum argininum 5 mg + Amlodipinum 10 mg,5 mg + 10 mg,Tabletki,Rp
Co-Prestarium,Perindoprilum argininum 10 mg + Amlodipinum 10 mg,10 mg + 10 mg,Tabletki,Rp
Vincristine Teva,Vincristini sulfas 1 mg/ml,1 mg/ml,Roztwór do wstrzykiwań,Rp
Uro-Vaxom,Liofilizat OM-89 (liofilizowany lizat Eschericha coli. galusan propylu bezwodny. sodu glutaminian bezwodny. mannitol) 60 mg,6 mg liofilizowanego lizatu Escherichia coli,Kapsułki twarde,Rp
Ziele Piołunu,Absinthii herba 100 g/100 g,-,Zioła do zaparzania w saszetkach,OTC
Promonta 4 mg,Montelukastum natricum 4.16 mg,4 mg,Tabletki do rozgryzania i żucia,Rp
Promonta 5 mg,Montelukastum natricum 2.2 mg,5 mg,Tabletki do rozgryzania i żucia,Rp
Asmenol,Montelukastum 5 mg,5 mg,Tabletki do rozgryzania i żucia,Rp
Asmenol,Montelukastum 10 mg,10 mg,Tabletki powlekane,Rp
Monkasta,Montelukastum 10 mg,10 mg,Tabletki powlekane,Rp
Promonta 10 mg,Montelukastum natricum 10.4 mg,10 mg,Tabletki powlekane,Rp
Daivobet,Calcipotriolum 50 mcg/g + Betamethasoni dipropionas 0.5 mg/g,(50 mcg + 0.5 mg)/g,Maść,Rp
Dysport,Toxinum botulinicum typum A ad iniectabile 500 j.,500 jednostek kompleksu neurotoksyny Clostridium botulinum typu A/fiolkę,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Alli,Orlistat 60 mg,60 mg,Kapsułki twarde,OTC
Czopki glicerolowe,Glycerolum 91 cz. + Natrii carbonas 1.68 cz. + Acidum stearicum 8.19 cz.,1 g,Czopki doodbytnicze,OTC
Insuman Rapid SoloStar,Insulinum humanum 100 j.m./ml,100 j.m./ ml,Roztwór do wstrzykiwań,Rp
Insuman Basal SoloStar,Insulinum humanum isophanum 100 j.m./1 ml,100 j.m./ml,Zawiesina do wstrzykiwań,Rp
Jodid 100,Kalii iodidum 0.1308 mg,100 mcg jodu,Tabletki,Rp
Verospiron,Spironolactonum 100 mg,100 mg,Kapsułki twarde,Rp
Nitrendypina Egis,Nitrendipinum 10 mg,10 mg,Tabletki,Rp
Botox,Kompleks neurotoksyny Clostridium botulinum typu A (900 kD) 100 jednostek Allergan,100 jednostek Allergan kompleksu neurotoksyny Clostridium botulinum typu A/fiolkę,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Bisocard,Bisoprololi fumaras 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Captopril Jelfa,Captoprilum 12.5 mg,12.5 mg,Tabletki,Rp
Captopril Jelfa,Captoprilum 25 mg,25 mg,Tabletki,Rp
Captopril Jelfa,Captoprilum 50 mg,50 mg,Tabletki,Rp
Krople żołądkowe,Menthae piperitae tinctura cum menthae piperitae aetheroleo 25 g + Hyperici intractum 25 g + Valerianae tinctura 25 g + Amara tinctura 25 g,-,Krople,OTC
Methadone Hydrochloride Molteni,Methadoni hydrochloridum 1 mg/ml,1 mg/ml,Syrop,Rpw
Azarga,Brinzolamidum 10 mg/ml + Timololum 5 mg/ml,(10 mg + 5 mg)/ml,Krople do oczu. zawiesina,Rp
Nevanac,Nepafenac 1 mg/ml,1 mg/ml,Krople do oczu. zawiesina,Rp
Ultracod,Paracetamolum 500 mg + Codeini phosphas 30 mg,500 mg + 30 mg,Tabletki,Rp
Venlafaxine Aurovitas,Venlafaxinum 37.5 mg,37.5 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Venlafaxine Aurovitas,Venlafaxinum 75 mg,75 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Venlafaxine Aurovitas,Venlafaxinum 150 mg,150 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Fragmin,Dalteparinum natricum 15 000 IU (anty-faktor Xa),15 000 j.m. a.Xa/0.6 ml,Roztwór do wstrzykiwań,Rp
Segan,Selegilini hydrochloridum 5 mg,5 mg,Tabletki,Rp
Vitaminum A Hasco,Retynolu palmitynian stabilizowany tokoferolem 45000 j.m.,45 000 j.m./ml,Krople doustne. roztwór,Rp
Ibuprofen AFL,Ibuprofenum 200 mg,200 mg,Tabletki drażowane,Rp
Scopolan compositum,Hyoscini butylbromidum 10 mg + Metamizolum natricum 250 mg,10 mg + 250 mg,Tabletki drażowane,OTC
Alendronic Acid Genoptim,Natrii alendronas 91.37 mg,70 mg,Tabletki,Rp
Sylvie 20,Ethinylestradiolum 0.02 mg + Gestodenum 0.075 mg,20 mcg + 75 mcg,Tabletki drażowane,Rp
Sylvie 30,Ethinylestradiolum 0.03 mg + Gestodenum 0.075 mg,30 mcg + 75 mcg,Tabletki drażowane,Rp
Phenytoin Hikma,Phenytoinum natricum 250 mg,50 mg/ml,Roztwór do wstrzykiwań,Rp
Atarax,Hydroxyzini hydrochloridum 10 mg,2 mg/ml,Syrop,Rp
Stoperan,Loperamidi hydrochloridum 2 mg,2 mg,Kapsułki twarde,OTC
Pulmoterol,Salmeterolum 0.05 mg,50 mcg/dawkę inh.,Proszek do inhalacji w kapsułkach twardych,Rp
Luxfen,Brimonidini tartras 2 mg ( co odpowiada 1.3 mg/ml brymonidyny),2 mg/ml,Krople do oczu. roztwór,Rp
Iporel,Clonidini hydrochloridum 0.075 mg,0.075 mg,Tabletki,Rp
Xifaxan,Rifaximinum 100 mg/5 ml,100 mg/5 ml,Granulat do sporządzania zawiesiny doustnej,Rp
Olej kamforowy Gemi,Camphorum 10 g,10%,Płyn na skórę,OTC
Micardis,Telmisartanum 40 mg,40 mg,Tabletki,Rp
BCG Szczepionka AJVaccines,Mycobacterium bovis BCG. sczep duński 1331 2-8x10^6 CFU/ml,2-8x10^6 CFU/ml,Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań,Rp
Cazaprol,Cilazaprilum 1 mg,1 mg,Tabletki powlekane,Rp
Cazaprol,Cilazaprilum 2.5 mg,2.5 mg,Tabletki powlekane,Rp
Cazaprol,Cilazaprilum 5 mg,5 mg,Tabletki powlekane,Rp
Propofol-Lipuro,Propofolum 10 mg/ml,10 mg/ml,Emulsja do wstrzykiwań lub infuzji,Rp
Beriplex P/N 250,Factor II coagulationis humanus 200-480 j.m. (składnik zespołu ludzkiej protrombiny) + Factor VII coagulationis humanus 100-250 j.m. (składnik zespołu ludzkiej protrombiny) + Factor IX coagulationis humanus 200-310 j.m. (składnik zespołu ludzkiej protrombiny) + Factor X coagulationis humanus 220-600 j.m. (składnik zespołu ludzkiej protrombiny) + Białko C 150-450 j.m. (składnik zespołu ludzkiej protrombiny) + Białko S 130-260 j.m. (składnik zespołu ludzkiej protrombiny),250 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Beriplex P/N 500,Factor VII coagulationis humanus 200-500 j.m. (składnik zespołu ludzkiej protrombiny) + Factor II coagulationis humanus 400-960 j.m. (składnik zespołu ludzkiej protrombiny) + Białko C 300-900 j.m. (składnik zespołu ludzkiej protrombiny) + Factor X coagulationis humanus 440-1200 j.m. (składnik zespołu ludzkiej protrombiny) + Białko S 260-520 j.m. (składnik zespołu ludzkiej protrombiny) + Factor IX coagulationis humanus 400-620 j.m. (składnik zespołu ludzkiej protrombiny),500 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Braunol 7.5%. roztwór na skórę,Polyvidonum iodinatum (z 10% zawartością jodu) 7.5 g/100 g,75 mg/ml,Roztwór na skórę,OTC
Ziele Dziurawca,Hyperici herba od 1.00 g,2.0 g/saszetkę,Zioła do zaparzania w saszetkach,OTC
Aspirin Complex Zatoki,Acidum acetylsalicylicum 500 mg + Pseudoephedrini hydrochloridum 30 mg,500 mg + 30 mg,Granulat do sporządzania zawiesiny doustnej,OTC
Doppelherz Energovital Tonik K,Crataegi fructus extractum fluidum ekstrahent etanol 50 % (m/m)`   2.00 g + Crataegi fructus extractum fluidum ekstrahent etanol 60 % (v/v) 1.10 g + Melissae folii extractum ekstrahent etanol 30 % (m/m)0.50 g + Rosmarini folii extractum fluidum ekstrahent etanol 19% (v/v) 0.50 g + Valerianae extractum ekstrahent etanol 40 % (m/m) 0.50 g,-,Płyn doustny,OTC
Venotrex,Troxerutinum 300 mg,300 mg,Kapsułki twarde,OTC
Frimig,Sumatriptanum 50 mg,50 mg,Tabletki powlekane,Rp
Zypsila,Ziprasidonum 60 mg,60 mg,Kapsułki twarde,Rp
Zypsila,Ziprasidonum 80 mg,80 mg,Kapsułki twarde,Rp
Zypsila,Ziprasidonum 40 mg,40 mg,Kapsułki twarde,Rp
Convulex,Natrii valproas 50 mg/ml + Acidum valproicum 4.338 g + Natrii chloridum 0.04 g,50 mg/ml,Syrop,Rp
Polfergan,Promethazini hydrochloridum 0.1 g/100 ml,5 mg/5 ml,Syrop,Rp
Tensart,Valsartanum 80 mg,80 mg,Tabletki powlekane,Rp
Alte forte z miodem,Althae radicis maceratio (5:36) 36 g,2.25 g/5 ml,Syrop,OTC
Tensart,Valsartanum 160 mg,160 mg,Tabletki powlekane,Rp
Woda utleniona,Hydrogenii peroxidum 10 g + Aqua purificata 90 g,3%,Roztwór na skórę. roztwór do stosowania w jamie ustnej,OTC
